customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
rb50392,washington,,Master,0,0,1000,0,Personal Auto,Four-Door Car,2.0
qz44356,arizona,F,Bachelor,697953,0,94,0,Personal Auto,Four-Door Car,1131.0
ai49188,nevada,F,Bachelor,1288743,48767,108,0,Personal Auto,Two-Door Car,566.0
ww63253,california,M,Bachelor,764586,0,106,0,Corporate Auto,SUV,529.0
ga49547,washington,M,High School or Below,536307,36357,68,0,Personal Auto,Four-Door Car,17.0
oc83172,oregon,F,Bachelor,825629,62902,69,0,Personal Auto,Two-Door Car,159.0
xz87318,oregon,F,College,538089,55350,67,0,Corporate Auto,Four-Door Car,321.0
cf85061,arizona,M,Master,721610,0,101,0,Corporate Auto,Four-Door Car,363.0
dy87989,oregon,M,Bachelor,2412750,14072,71,0,Corporate Auto,Four-Door Car,511.0
bq94931,oregon,F,College,738817,28812,93,0,Special Auto,Four-Door Car,425.0
sx51350,california,M,College,473899,0,67,0,Personal Auto,Four-Door Car,482.0
vq65197,california,,College,819719,0,110,0,Personal Auto,SUV,528.0
dp39365,california,,Master,879879,77026,110,2,Corporate Auto,Four-Door Car,472.0
sj95423,arizona,,High School or Below,881901,99845,110,1,Corporate Auto,SUV,528.0
il66569,california,,College,538443,83689,70,2,Corporate Auto,Four-Door Car,307.0
bw63560,oregon,,Bachelor,746313,24599,64,1,Corporate Auto,Four-Door Car,42.0
fv94802,nevada,,High School or Below,256686,25049,67,0,Personal Auto,Two-Door Car,454.0
oe15005,california,,College,394524,28855,101,0,Personal Auto,SUV,647.0
wc83389,oregon,,College,571033,51148,72,0,Personal Auto,Four-Door Car,308.0
fl50705,california,,High School or Below,816261,66140,101,0,Corporate Auto,Four-Door Car,484.0
zk25313,oregon,,High School or Below,287205,57749,74,0,Personal Auto,Two-Door Car,355.0
qk46697,washington,M,Bachelor,617710,61040,79,1,Personal Auto,Two-Door Car,20.0
yh23384,arizona,,Bachelor,2412750,14072,71,0,Personal Auto,Four-Door Car,511.0
tz98966,nevada,,Bachelor,245019,0,73,3,Corporate Auto,Four-Door Car,554.0
hm55802,california,,Bachelor,239210,17870,61,0,Corporate Auto,Four-Door Car,439.0
fs42516,oregon,,College,580206,97541,72,0,Personal Auto,Four-Door Car,389.0
us89481,california,,Bachelor,394637,0,111,0,Personal Auto,Four-Door Car,799.0
hs14476,washington,M,College,916206,29723,80,0,Personal Auto,Four-Door Car,20.0
ge62437,arizona,,College,1290256,86584,111,2,Personal Auto,Four-Door Car,532.0
ej77678,oregon,,Master,323536,75690,80,1,Personal Auto,Four-Door Car,384.0
sv85652,arizona,,College,245458,23158,63,1,Personal Auto,Four-Door Car,322.0
ul64533,nevada,,High School or Below,1897545,65999,237,0,Corporate Auto,Luxury,615.0
pf41800,california,,Bachelor,471532,0,65,0,Personal Auto,Four-Door Car,308.0
hd95276,washington,F,College,473787,0,130,0,Personal Auto,SUV,23.0
sk67821,oregon,,Bachelor,493291,37260,62,0,Corporate Auto,Four-Door Car,15.0
yv55495,arizona,,High School or Below,574422,68987,71,0,Personal Auto,Four-Door Car,204.0
ky38074,california,,Bachelor,1389173,42305,117,0,Personal Auto,Four-Door Car,561.0
dm79012,oregon,,Master,738097,65706,91,0,Personal Auto,Four-Door Car,436.0
cm61827,oregon,,Bachelor,309003,0,90,0,Personal Auto,Two-Door Car,648.0
wc35801,arizona,,High School or Below,252163,53243,66,2,Personal Auto,Four-Door Car,157.0
qg25316,nevada,,High School or Below,265206,0,70,1,Corporate Auto,Two-Door Car,484.0
mb98372,oregon,,College,277104,50071,71,0,Corporate Auto,Two-Door Car,18.0
il19217,california,,Bachelor,393900,60021,99,0,Personal Auto,Four-Door Car,882.0
sr38658,arizona,,High School or Below,1223187,43244,103,0,Personal Auto,Luxury,494.0
yd87931,washington,M,Doctor,495165,46896,35354,1,Personal Auto,Four-Door Car,31.0
hg65722,oregon,,Doctor,1281910,10105,172,3,Personal Auto,SUV,0.0
bu27331,arizona,,Bachelor,446851,0,73,3,Personal Auto,Four-Door Car,579.0
xm45289,oregon,,High School or Below,551434,23218,71,0,Personal Auto,Two-Door Car,447.0
kp34198,california,,Bachelor,334387,0,92,0,Corporate Auto,Four-Door Car,529.0
sh90947,arizona,,High School or Below,229447,0,62,0,Personal Auto,Four-Door Car,313.0
we95729,oregon,,College,3670742,24804,104,0,Personal Auto,SUV,593.0
py51963,california,,Bachelor,3347334,33190,106,0,Corporate Auto,SUV,508.0
rb69909,nevada,,High School or Below,798343,36014,69,3,Special Auto,Four-Door Car,173.0
nw21079,washington,F,Master,487938,67163,61,2,Personal Auto,Two-Door Car,33.0
fr46645,california,,Bachelor,429399,16701,113,0,Personal Auto,Four-Door Car,831.0
sy17488,arizona,,College,716439,46623,91,0,Corporate Auto,Four-Door Car,436.0
ap67935,california,,College,761951,64749,64,0,Special Auto,Four-Door Car,302.0
fs37417,arizona,,High School or Below,395800,0,101,0,Personal Auto,SUV,484.0
ml29312,oregon,,High School or Below,449949,16969,124,2,Personal Auto,SUV,704.0
ub61619,oregon,,Master,405956,11621,108,0,Personal Auto,Four-Door Car,518.0
cd86811,arizona,,Bachelor,445811,17622,65,1,Personal Auto,Four-Door Car,312.0
ru83859,california,,Bachelor,811033,11489,105,0,Personal Auto,Two-Door Car,504.0
fg63582,oregon,,Bachelor,333976,0,94,0,Personal Auto,Two-Door Car,863.0
nn71951,california,,High School or Below,2426101,66525,100,0,Personal Auto,SUV,104.0
wb37082,arizona,,Bachelor,661397,0,63,0,Personal Auto,Four-Door Car,676.0
sm52139,washington,,College,293069,33663,73,0,Personal Auto,Four-Door Car,350.0
fl82372,oregon,,College,867219,22547,112,0,Corporate Auto,SUV,537.0
dp45816,arizona,,High School or Below,1163866,61486,97,0,Personal Auto,Two-Door Car,465.0
gw33762,oregon,,Bachelor,684615,0,95,0,Personal Auto,Two-Door Car,456.0
rz33670,california,,College,1172777,29879,102,0,Personal Auto,Four-Door Car,500.0
py70169,oregon,,High School or Below,2264383,93011,113,0,Personal Auto,SUV,281.0
mo91628,oregon,,Master,261447,65186,65,0,Personal Auto,Two-Door Car,5.0
hw87852,oregon,,Master,245175,26840,64,2,Personal Auto,Four-Door Car,307.0
hb20453,oregon,,Bachelor,678127,0,104,1,Personal Auto,Luxury,982.0
bn87372,oregon,,Bachelor,497480,75644,65,3,Personal Auto,Two-Door Car,467.0
yx23800,oregon,,Bachelor,859160,38984,73,0,Personal Auto,Four-Door Car,350.0
dz87709,oregon,,High School or Below,559216,71811,71,0,Personal Auto,Four-Door Car,29.0
xw13033,nevada,,College,800947,20961,67,0,Personal Auto,Four-Door Car,321.0
sp81997,washington,F,Master,0,41275,96,0,Personal Auto,Four-Door Car,41.0
om82309,california,,Bachelor,5816655,61321,186,1,Personal Auto,Luxury,427.0
zu35962,california,,College,802522,0,77,0,Personal Auto,Two-Door Car,25.0
vh85817,california,,High School or Below,578018,51066,74,0,Personal Auto,Four-Door Car,787.0
dt85712,california,,Doctor,411853,34378,102,0,Personal Auto,SUV,489.0
yj88573,nevada,,Master,252307,43072,63,0,Personal Auto,Four-Door Car,302.0
sq19467,oregon,,College,655421,25222,90,0,Personal Auto,Four-Door Car,475.0
yb66933,washington,F,Bachelor,538275,77552,68,1,Corporate Auto,Four-Door Car,45.0
et79815,california,,College,592672,23091,96,5,Personal Auto,Four-Door Car,460.0
qc35222,california,,Bachelor,268347,48269,69,3,Corporate Auto,Four-Door Car,282.0
cj15590,oregon,,Bachelor,269518,32720,67,0,Personal Auto,Four-Door Car,321.0
oi48267,california,,College,604702,20396,76,1,Personal Auto,Four-Door Car,364.0
jy67916,oregon,,College,1317101,21513,119,1,Personal Auto,Two-Door Car,679.0
ow15518,washington,F,College,1595001,0,87,1,Personal Auto,Two-Door Car,46.0
cz33664,oregon,,Bachelor,252765,80744,63,0,Corporate Auto,Four-Door Car,11.0
wk30175,oregon,,Bachelor,267209,52822,67,0,Corporate Auto,Two-Door Car,350.0
on44465,california,,High School or Below,531329,0,77,1,Personal Auto,Four-Door Car,863.0
tv87155,oregon,,Bachelor,2094619,69738,74,1,Personal Auto,Four-Door Car,492.0
kh48895,arizona,,Master,837535,17780,109,0,Personal Auto,SUV,132.0
nz30757,california,,Bachelor,480166,18107,62,0,Personal Auto,Four-Door Car,297.0
